puma|n. 美洲狮
unrealistic|adj. 不切实际的；不实事求是的
paradise|n. 天堂
wretched|adj. 悲惨的；不幸的；难过的；恶劣的
starve|v. 挨饿；饿死
element|n. 元素；要素；成分
opportunity|n. 机会；时机
coral|n. 珊瑚；珊瑚虫；adj. 珊瑚色的；红色的
Virgin Islands|n. 维尔京群岛
Miami|n. 迈阿密
dinghy|n. 无篷小艇；小舟；救生筏
Caribbean|n. 加勒比海；adj. 加勒比海的
spear gun|phrase. 捕鱼枪
lobster|n. 龙虾
tanker|n. 油轮；加油飞机；罐车
genuinely|adv. 由衷地；真诚地；真正地
Robinson Crusoe|n. 鲁滨逊·克鲁索
costume|n. 服装；衣服；戏服；v. 给…穿上服装
consist|v. 由…组成；在于；一致；符合
sheet|n. 薄板；被单；纸张；（薄）片
effective|adj. 有效的；生效的
comfortable|adj. 舒服的；安逸的
storeroom|n. 贮藏室；库房
electricity|n. 电学；电力
metre|[又作meter]；n. 米；公尺；仪表
pace|n. 一步；步伐；步速；v. 踱步；调整步调
flee|v. 逃跑；逃离
slam|v. 砰地关上；猛动；抨击
gangster|n. 歹徒；匪徒；暴徒
Chicago|n. 芝加哥（美国）
protection|n. 保护
promptly|adv. 马上；迅速地；敏捷地；准时地
destroy|v. 破坏；摧毁
remarkable|adj. 值得注意的；显著的；非凡的；不寻常的
band|n. 乐队；带子；一伙
Florence|n. 佛罗伦萨（意大利都市名）
city-state|n. 城邦
hire|v. 雇用；租用
prince|n. 王子；君主
Florentine|adj. 佛罗伦萨式的
funeral|n. 葬礼
dedicate|v. 奉献；献身；致力
memory|n. 回忆；记忆力
valiant|adj. 勇敢的；英勇的
appreciate|v. 欣赏；理解；感激；增值
pocket money|phrase. 零用钱
rattle|n. 拨浪鼓；嘎嘎声；咔嗒声；v. 发出格格声；使紧张不安；喋喋不休
thrifty|adj. 节约的；节俭的
nephew|n. 侄子；外甥
bounce|v. 弹跳；反弹；n. 弹跳；跳动
pavement|n. 路面；人行道
stick|v. 粘附；刺；（随意）放置；卡住；忍受；n. 棍枝；球棍；条状物，（一）根
brigade|n. 旅；队；组；族
grease|n. 油脂；润滑油；动物油脂；贿赂；v. 给…加润滑油；涂油脂于；贿赂
prize|n. 奖赏；奖品；奖金；战利品；v. 珍视；珍藏；估价
tie|n. 领带；关系；约束；平局；淘汰赛；v. 绑；系；拴；约束；与...成平局
theft|n. 偷窃；盗窃罪
accuse|v. 指控；指责
deny|v. 否认；拒绝
ashamed|adj. 羞愧的；惭愧的
apologize|v. 道歉
dye|v. 给...染色 ；n. 染料
suspension|n. 悬浮；中止；暂缓
agreeable|adj. 愉悦的；宜人的；欣然同意的
situation|n. 情况；形势；情境
locate|v. 位于；查找…的地点；确定…的位置；使坐落于
immortal|adj. 不朽的；永世的；不死的；n. 不朽的人物；神仙；永生不灭者
Brooklyn|n. 布鲁克林区
Staten|n. 斯塔藤（岛），位于美国纽约
span|n. 间距；时距；跨度；v. 持续；跨越；涉及
cable|n. 电缆；钢索
concrete|adj. 具体的；有形的；混凝土的；n. 混凝土；具体物；v. 用混凝土覆盖
suspend|v. 吊；悬；暂停；延缓
length|n. 长度
estimate|v. 估算；估价；n. 估价；估算
capacity|n. 容量；容积；能力；身份；地位；资格
immensity|n. 广大；巨大；无限；浩瀚
elegant|adj. 优雅的；优美的；典雅的
faintly|adv. 微弱地；微细地；隐约地
current|n. （水、气、电）流；趋势；adj. 当前的；流通的
sculpture|n. 雕刻（术）；雕塑品；雕刻品；v. 雕塑；刻蚀
mistaken|adj. 搞错的；弄错的；误解的；v. 弄错；误解；“mistake”的过去分词
gallery|n. 画廊；美术馆
exhibit|v. 展览；陈列；展示；n. 展品；展览
oddly|adv. 古怪地；怪异地；反常地
