fossil man|phrase. 化石人
winkle|n. 滨螺；玉黍螺；v. 挑出；剔出；设法搞到；逐出
incidentally|adv. 附带地；偶然地；顺便地
pertinent|adj. 中肯的；相关的；切题的
flirt|v. 调情；轻率地对待；n. 与多人调情的人
inmost|adj. 最内部的；最深入的；深藏的；“inner”的最高级
signature|n. 签名
infinity|n. 无限；无穷
ray|n. 光线；光束
energize|v. 赋予能量；使精力充沛；激励
rhythm|n. 节奏；韵律
transmit|v. 发送；传播；传递
exquisite|adj. 精美的；细腻的；强烈的
phenomena|n. 现象；“phenomenon”的复数
crest|n. 冠；顶部；v. 到达顶部；到达最高点
trough|n. 槽；水槽；饲料槽
vertical|adj. 竖的；垂直的
horizontal|adj. 水平的
actuality|n. 实际；真实
catastrophic|adj. 灾难性的
particle|n. 微粒；粒子
maturity|n. 成熟；成年
undulate|v. 使波动；使起伏；adj. 波动的；起伏的
tremor|n. 震动；震颤
gravitational|adj. 引力的；重力引起的
technique|n. 技术；工艺；技巧；技艺
tough|adj. 强硬的；艰苦的；严厉的
resentful|adj. 怨恨的；愤慨的
assign|v. 分配；指派
mahout|n. 象夫
calf|n. 小牛；牛犊；小腿肚
pine|n. 松树；松木；v. 渴望；苦思
underline|v. 在…下面划线；强调
keep|v. 继续；保持；保留
subservient|adj. 卑屈的；恭顺的；次要的；从属的
plunge|v. 投入；跳入；n. 跳进；骤降
tame|adj. 驯化的；温顺的；枯燥无味的；v. 驯养；制服；控制
tether|n. 系绳；系链；界限；v. 用绳拴住
ticklish|adj. 怕痒的；难对付的；棘手的
alarming|adj. 使人惊恐的；引起恐慌的；v. 使惊恐；“alarm”的现在分词
accompaniment|n. 伴随物；伴奏
soothe|v. 使安静；安慰；使缓和
chant|n. 圣歌；赞美诗；喊叫；v. 吟唱；诵扬；反复叫喊
reinforce|v. 增强；增援；加强；加固
endearing|adj. 惹人喜爱的；v. 使受喜爱；“endear”的现在分词
epithet|n. 性质描述词；绰号；称号；表述词语
blandishment|n. 奉承；哄诱
lash|n. 鞭子；鞭打；睫毛；v. 鞭打；摆动；抨击
curl|v. 卷；蜷缩；n. 卷曲
earthquake|n. 地震
slumber|v. 睡眠；n. 睡眠（常复数）
ninepin|n. 九柱戏中的木柱
rigid|adj. 坚硬的；严格的；刻板的；僵直的
delicate|adj. 微妙的；易碎的；脆弱的；精致的
seismometer|n. 地震仪
penholder|n. 笔杆；笔架
legibly|adv. 字迹清楚地；易读地
drum|n. 鼓；v. 敲打
wriggle|n. 蠕动；扭动；蜿蜒；v. 蠕动；扭动；蜿蜒前进
bluebottle|n. 蓝丽蝇；矢车菊
graph|n. 图表；曲线图
graphic|adj. 生动的；图表的；n. 图表
longitudinal|adj. 经度的；纵向的；长度的
transverse|adj. 横向的；横放的；横切的；n. 横向物；横断面
Mercury|n. 水星
hydrogen|n. 氢
prevailing|adj. 普遍的；盛行的；有优势的；v. 获胜；盛行；劝服；“prevail”的现在分词
radio astronomer|phrase. 射电天文学家
uniquely|adv. 独特地；唯一地；珍奇地
rational|adj. 理性的；理智的；合理的
radio frequency|phrase. 无线电频率；射频
cm|abbr. 厘米；“centimetre”的缩写
megacycle|n. 兆周
emission|n. 散发；排放；放射
interstellar|adj. 星际的
rendezvous|n. 约会；约会地点；汇合点；v. 汇合；集合
encounter|v. 遭遇；遇到；邂逅；n. 遭遇；遭遇战
commonplace|adj. 普通的；平庸的；n. 平凡的事
aberrant|adj. 脱离正道的；脱离常轨的
predominant|adj. 主导的；支配的；占有优势的；显著的；主要的
pristine|adj. 原始的；纯洁的；崭新的
stereotype|n. 刻板印象；陈规老套；v. 对…存有成见；把…模式化
vernacular|adj. 本国的；地方的；n. 方言；土语
accommodation|n. 住处；工作场所；停留处；膳宿；（交通工具内的）空间
incumbent|adj. 负有义务的；在职的；n. 在职者；教区牧师
preliminary|adj. 预备的；初步的
proposition|n. 命题；建议；主张
preferential|adj. 优先的；优待的；特惠的
controversial|adj. 有争议的
cactus|n. 仙人掌
termite|n. 白蚁
variant|adj. 相异的；各种各样的；不定的；n. 变体；变种；变形
barbarian|n. 野蛮人；adj. 野蛮的
pagan|n. 异教徒；无宗教信仰者；adj. 异教的；异教徒的；无宗教信仰的
sophistication|n. 老练；精明；精密
premise|n. 前提；假定；v. 提出...作为前提
supernatural|adj. 超自然的；神奇的
dispute|n. 纠纷；争端；v. 对（某事）有异议；争执
subdue|v. 征服；克制；制服
drainage|n. 排水；排水系统；放水
envision|v. 想象；设想
Morocco|n. 摩洛哥
latitude|n. 纬度；行动或言论的程度
heretic|n. 异教徒
conceive|v. 构思；设想；怀孕
suffice|v. 足够；足以；使满足
nuclear|adj. 原子能的；核能的
original|n. 原件；原稿；adj. 原来的；原版的；新颖的；有创造性的
gifted|adj. 有才华的；有天赋的
psychologist|n. 心理学家；心理学研究者
spasm|n. 痉挛；抽搐；一阵发作
futile|adj. 无用的；徒劳的；没出息的
insinuate|v. 暗示；迂回
convulsive|adj. 痉挛的
illumination|n. 照明；启示
undue|adj. 过度的；不适当的
grip|v. 紧握；掌握；吸引；n. 紧握；掌握；控制；把手
recuperation|n. 恢复；康复
improvise|v. 即兴创作；即兴表演；临时准备
sedulously|adv. 孜孜不倦地
vivify|v. 使有生气；使生动活泼
aggravate|v. 加剧；使恶化；激怒
trifling|adj. 微不足道的；无关紧要的；v. 闹着玩；玩弄；“trifle”的现在分词
gratify|v. 使满足；使高兴
caprice|n. 反复无常；任性；怪想
satiation|n. 饱食；饱满；饱享；厌腻
frantically|adv. 疯狂地；狂热地
avenge|v. 报（某事）之仇；为（某人）报仇
boredom|n. 无聊；厌倦；厌烦
clatter|n. 咔嗒声；哗啦声；嘈杂的谈笑声；v. （使）发出哗啦声；咔嗒咔嗒响；喧闹地谈笑
appetite|n. 胃口；食欲；嗜好；爱好
grudge|n. 怨恨；积怨；嫌隙；v. 勉强做；不情愿地给；吝惜
absorbing|adj. 吸引人的；非常有趣的；v. 吸收；吸引；“absorb”的现在分词
banish|v. 驱逐；消除
assumption|n. 假设；假想
manoeuvre|n. （熟练地）移动；巧计；v. 控制；移动；操控
myriad|n. 无数；大量；adj. 无数的；多种的
paradox|n. 悖论；矛盾
cynic|n. 愤世嫉俗者；悲观者；怀疑者
sociologist|n. 社会学家；社会学者
shun|v. 避开；避免
affluent|adj. 富裕的；丰富的；富足的
chambermaid|n. （打扫宾馆客房的）女服务员
boo|int. 呸；嘘；n. 嘘声；v. 发出嘘声
maître d'hôtel|phrase. 餐厅领班；酒店总管
snobbery|n. 势利态度（或行为）
hierarchy|n. 层次体系；等级制度
entail|v. 需要；使…必然发生
inclement|adj. （天气）恶劣的
package tour|phrase. 包办旅行
insularity|n. 岛国；孤立；偏狭
cater|v. 迎合；满足需要；供应酒菜
exclusively|adv. 排外地；专有地
cosmopolitan|adj. 全世界的；四海一家的；n. 世界主义者；四海为家者
preponderance|n. 优势；多数
overwhelmingly|adv. 压倒性地；不可抵抗地
patronage|n. 赞助；惠顾；委任权
sauerkraut|n. （酸）泡菜；德国泡菜
vie|v. 竞争；争夺
municipality|n. 自治市；市当局
itinerant|adj. 巡回的；流动的；n. 四处奔波的人；流浪者
heath|n. 荒地；石南
alienate|v. 使疏远；离间；让渡
eternal|adj. 不朽的；永久的
portfolio|n. 文件夹；公事包；作品集；部长职务；投资组合
tipster|n. 情报贩子；密报者
Las Vegas|n. 拉斯维加斯
fritter|n. 油炸馅饼；v. 挥霍；浪费
reputable|adj. 有声望的；声誉好的
broker|n. 经纪人；掮客；v. 安排协商
finance|n. 金融；财务；v. 提供资金
mortgage|n. 抵押；按揭；v. 抵押；按揭
pension|n. 养老金；退休金；抚恤金
priority|n. 优先权；需优先考虑的事
gilt|adj. 镀金的；烫金的；v. 给…镀金；涂金于…；“gild”的过去式和过去分词；n. 镀金部分；金边证券
convertible|adj. 可自由兑换的（货币）；可改变的；可转换的；n. 敞篷车；可换证券
sanguine|adj. 乐天的；自信的；红润的
heady|adj. 兴奋的；陶醉的；飘飘然的；任性的
alongside|prep. 在…旁边；与…一起；adv. 在…的侧面；与…并排
pedestrian|n. 行人；步行者；adj. 步行的；呆板的；平淡无奇的
